Recency,Frequency,Monetary,Cluster,pca1,pca2,Segment
75,5,2019.4,2,1.0962781351457298,0.3918241257263967,Premium Loyalists
19,4,4428.69,2,1.7760747113547073,-0.19681151537552002,Premium Loyalists
310,1,334.4,0,-1.435088917995823,0.08662868710441958,Dormant Low Spenders
375,1,300.93,0,-1.5541846216489332,0.16095494283053777,Dormant Low Spenders
36,10,2849.84,2,2.1253072051711275,0.3634658989301192,Premium Loyalists
204,2,406.76,0,-0.7868762195306431,0.09332075388968956,Dormant Low Spenders
232,1,1079.4,1,-0.7092397834383353,0.3339145517000704,Active Mid Spenders
214,2,947.61,1,-0.3471407814313417,0.422690991672706,Active Mid Spenders
2,5,3887.07,2,2.5118773945500115,-1.2791828121408388,Premium Loyalists
52,8,4252.89,2,2.0221772427544376,0.627698833282781,Premium Loyalists
287,4,511.25,1,-0.2642954122485558,0.6050789803488216,Active Mid Spenders
110,2,552.0,1,-0.42086942758640106,-0.15946066834216452,Active Mid Spenders
8,4,1313.1,3,1.3831560809869143,-1.1010025310054916,New Active Buyers
291,2,641.38,1,-0.6580254088485888,0.4639673598940914,Active Mid Spenders
634,1,500.24,0,-1.4530591023083679,0.6506461089840827,Dormant Low Spenders
4,1,168.9,3,-0.44410692428639686,-2.589999604315858,New Active Buyers
628,1,917.6999999999999,0,-1.1231530803552463,0.8612644043775917,Dormant Low Spenders
413,3,1791.15,1,0.06853052064300151,1.1653681190495084,Active Mid Spenders
51,7,4320.31,2,1.9190305053646481,0.5690488264546766,Premium Loyalists
45,5,4067.38,2,1.6388606525773493,0.34573728922736097,Premium Loyalists
72,3,1298.04,1,0.4654651331549606,0.02789892981312153,Active Mid Spenders
311,3,1127.65,1,-0.08787857091918068,0.833673535114801,Active Mid Spenders
25,4,2989.2200000000003,2,1.477865880500016,-0.18244633124328202,Premium Loyalists
11,2,457.5,3,0.2093761064895083,-1.5372546330474224,New Active Buyers
390,2,503.15,0,-0.8846924745072133,0.5495394281576319,Dormant Low Spenders
315,4,3426.32,1,0.7303782272969505,1.3380454702502884,Active Mid Spenders
82,4,1620.22,1,0.7661045534050313,0.28309464755208025,Active Mid Spenders
5,5,1845.31,2,1.8823379748030558,-1.1364897905706624,Premium Loyalists
185,5,1850.56,1,0.7549839464141391,0.8880926030621132,Active Mid Spenders
29,2,585.27,3,0.04074137401923564,-0.9095822250669185,New Active Buyers
379,1,1938.4,1,-0.554485181772206,0.830929475400579,Active Mid Spenders
338,2,660.8,1,-0.6910245074883608,0.5625432579373063,Active Mid Spenders
415,1,143.94,0,-1.9832425089308654,-0.041362608862278216,Dormant Low Spenders
16,8,3901.11,2,2.349423614272634,-0.07315814919412106,Premium Loyalists
403,3,1433.33,1,-0.043556922076688584,1.0714803260835366,Active Mid Spenders
80,1,549.84,3,-0.7252339419547964,-0.5291053753305763,New Active Buyers
22,6,2773.42,2,1.8145466910909362,-0.12991264717421647,Premium Loyalists
591,1,234.75000000000003,0,-1.8368554444649101,0.3401423976145832,Dormant Low Spenders
72,6,2399.4500000000003,2,1.3567729412428369,0.4990133698025108,Premium Loyalists
64,2,1272.48,3,0.20496112372682876,-0.17713256820069473,New Active Buyers
19,15,5067.27,2,3.0129168446763277,0.37500562735066184,Premium Loyalists
674,1,931.43,0,-1.1383548262313088,0.9081502396635012,Dormant Low Spenders
36,2,2409.9,3,0.7344408420081091,-0.28140690245719086,New Active Buyers
46,1,1635.6599999999999,3,0.04104620484844401,-0.4612397901781991,New Active Buyers
119,7,1962.3,2,1.218604175838008,0.7802917587690141,Premium Loyalists
414,1,205.25,0,-1.7921814332011021,0.08310854914467057,Dormant Low Spenders
303,1,84.3,0,-2.166070731704454,-0.4153817191367617,Dormant Low Spenders
323,6,1256.9,1,0.5183166657382983,1.1465954836005727,Active Mid Spenders
50,2,1019.36,3,0.1651794070873156,-0.39914803359964074,New Active Buyers
682,1,63.24,0,-2.585109065402111,-0.039568707712213436,Dormant Low Spenders
149,1,1710.39,1,-0.31636980156388184,0.2385419453234912,Active Mid Spenders
50,5,1708.1200000000001,2,1.1371704698384788,0.09704825872499176,Premium Loyalists
33,8,4340.7699999999995,2,2.179143786063702,0.37339752150223426,Premium Loyalists
309,3,1013.71,1,-0.1431629322665421,0.7919070860876317,Active Mid Spenders
410,1,346.9,0,-1.5070055717938171,0.26397721286698966,Dormant Low Spenders
75,6,2596.93,2,1.3861745393145903,0.5509587953570642,Premium Loyalists
67,4,999.45,1,0.5712678846140453,-0.006634565201699756,Active Mid Spenders
217,6,952.41,1,0.499093008787982,0.8141901559679734,Active Mid Spenders
657,1,202.56,0,-1.9507867722374819,0.35003685901104153,Dormant Low Spenders
113,4,2021.2,1,0.7809792246321605,0.5489749748279842,Active Mid Spenders
386,2,503.01,0,-0.8814618937674976,0.5433808607084454,Dormant Low Spenders
64,1,600.39,3,-0.6055355327608184,-0.6274506550787363,New Active Buyers
16,6,1098.6,2,1.414742274313287,-0.6383124939122451,Premium Loyalists
96,17,5231.8,2,2.628965836995826,1.3698986937339133,Premium Loyalists
1,10,2622.39,2,3.0396463776400906,-1.3855804297863292,Premium Loyalists
163,4,3340.03,1,0.9322367614547498,0.9424533103505517,Active Mid Spenders
78,2,1741.41,1,0.30993531589619333,0.049693568349449595,Active Mid Spenders
195,2,1345.21,1,-0.12792105409082397,0.49308841818738397,Active Mid Spenders
22,3,1129.3,3,0.7700992572756411,-0.7023497665743687,New Active Buyers
43,1,256.4,3,-0.9349706558461485,-1.160221343577282,New Active Buyers
43,5,5059.32,2,1.7711540467735767,0.39740445446616934,Premium Loyalists
85,3,1103.43,1,0.3240526000383269,0.06655714818076265,Active Mid Spenders
100,1,509.01,0,-0.8393155928801571,-0.42655213086143395,Dormant Low Spenders
14,2,2906.85,3,1.1323323754521586,-0.7465653164996534,New Active Buyers
683,2,1158.18,1,-0.6194710856050196,1.1762127577869885,Active Mid Spenders
462,2,859.2,1,-0.6520800672071098,0.839806103449205,Active Mid Spenders
367,1,347.1,0,-1.4703665562094943,0.19906115972000454,Dormant Low Spenders
3,1,172.06,3,-0.36081141725882754,-2.714916586493131,New Active Buyers
732,1,485.31,0,-1.5165495527499022,0.7244285181395047,Dormant Low Spenders
21,5,5005.46,2,1.9932470510832,-0.014869757030016134,Premium Loyalists
22,2,434.98,3,-0.03166173021630941,-1.1718513499617256,New Active Buyers
58,1,1002.3100000000001,3,-0.29764359597424445,-0.5018750176837526,New Active Buyers
243,1,476.49,0,-1.1648160102178087,0.069705635547913,Dormant Low Spenders
44,1,449.45,3,-0.6405234946275931,-0.9472738169693926,New Active Buyers
22,6,4835.89,2,2.1143397778317046,0.06844123199397079,Premium Loyalists
156,5,688.2,1,0.2776808591435454,0.4355414167422743,Active Mid Spenders
17,2,430.57,3,0.04343608969066304,-1.319924410937475,New Active Buyers
134,1,707.09,0,-0.7577142657162689,-0.13847041810986738,Dormant Low Spenders
44,3,3181.04,2,1.1077198415045597,0.06251887383184677,Premium Loyalists
66,8,2995.91,2,1.7562083062329759,0.6408345839775141,Premium Loyalists
71,4,1777.49,1,0.8627799781785201,0.23235471179892886,Active Mid Spenders
605,1,454.36,0,-1.4894690654883815,0.588842916804804,Dormant Low Spenders
456,1,326.65,0,-1.57422654631991,0.30509308433433274,Dormant Low Spenders
94,2,826.88,1,-0.1520624880323472,-0.10718668349323622,Active Mid Spenders
19,2,1189.59,3,0.5561296702963644,-0.8957049081481133,New Active Buyers
53,4,1344.78,1,0.8069833796066693,-0.036659146616556136,Active Mid Spenders
10,8,1212.05,2,1.862351399449688,-0.7466295738707689,Premium Loyalists
17,2,742.1899999999999,3,0.33659060081517406,-1.1259628519523566,New Active Buyers
682,1,56.73,0,-2.6427392906163534,-0.07769893563993682,Dormant Low Spenders
423,1,132.8,0,-2.0326390876143674,-0.058677412518862125,Dormant Low Spenders
188,5,3670.74,1,1.1189905008857248,1.1418412132610074,Active Mid Spenders
523,2,3070.54,1,-0.006284288615749957,1.3669389185631633,Active Mid Spenders
690,1,211.95,0,-1.942550240885248,0.3949662525542463,Dormant Low Spenders
29,5,3938.5499999999997,2,1.7620224111846103,0.08237123985524847,Premium Loyalists
54,2,1149.64,3,0.2051682451323777,-0.3117718193150694,New Active Buyers
4,1,680.99,3,0.3054995093457205,-2.0940330509278833,New Active Buyers
11,1,527.2,3,-0.12012948786930881,-1.6693317489421062,New Active Buyers
17,19,5120.58,2,3.2765425981005567,0.41713310499207806,Premium Loyalists
529,1,708.1,0,-1.2065296773350622,0.6679345421592997,Dormant Low Spenders
432,1,1037.28,1,-0.9344072463470923,0.6848981152495779,Active Mid Spenders
731,1,285.29999999999995,0,-1.8018574311024507,0.5345571638151179,Dormant Low Spenders
10,3,1298.66,3,1.0878821532380194,-1.0871750054511058,New Active Buyers
336,1,334.93,0,-1.4606317516657736,0.13450520149618567,Dormant Low Spenders
39,1,460.40000000000003,3,-0.5888491055765233,-1.0081094607353285,New Active Buyers
63,3,715.21,3,0.18757995879732228,-0.262113372832837,New Active Buyers
166,2,433.74,0,-0.6849228891185006,-0.004626687597817608,Dormant Low Spenders
16,9,1872.8700000000001,2,2.0592522752841815,-0.28747639304485956,Premium Loyalists
641,1,357.4,0,-1.6375838732039396,0.5374028907237549,Dormant Low Spenders
620,2,54.09,0,-2.230868965762625,0.032097187793446724,Dormant Low Spenders
21,3,403.70000000000005,3,0.23073886957022588,-1.0950728791319744,New Active Buyers
560,1,393.72,0,-1.5411848265327517,0.49237532515780646,Dormant Low Spenders
337,1,2169.39,1,-0.45528818420155587,0.8020671004953244,Active Mid Spenders
96,5,3723.87,2,1.34601987612329,0.753899092759357,Premium Loyalists
584,1,1126.0,1,-0.9890920898495767,0.8914565922126025,Active Mid Spenders
18,4,779.05,3,0.8562142837060568,-0.8468067547645204,New Active Buyers
409,1,955.2,1,-0.9608828386582816,0.6233462718172755,Active Mid Spenders
233,1,73.5,0,-2.1530537265660663,-0.6179094600986637,Dormant Low Spenders
134,4,1844.06,1,0.6759517466320928,0.6158928232471348,Active Mid Spenders
26,2,398.27,3,-0.1318139824795994,-1.1087540560154858,New Active Buyers
284,1,176.5,0,-1.7496128218074294,-0.1919067415885231,Dormant Low Spenders
143,9,5178.02,2,1.9051882238574505,1.3343604667675486,Premium Loyalists
429,1,3084.02,1,-0.34476164902552087,1.0694196611873426,Active Mid Spenders
66,2,138.03,0,-0.9995880782439656,-0.9496557837206284,Dormant Low Spenders
113,1,612.29,0,-0.7796563995165976,-0.2893959243135517,Dormant Low Spenders
267,2,1597.76,1,-0.1380393260836449,0.7388136782159405,Active Mid Spenders
353,1,383.7,0,-1.403694004048688,0.2118822349495145,Dormant Low Spenders
78,4,2648.62,1,1.047296052257455,0.4292918436028055,Active Mid Spenders
28,5,2502.84,2,1.5287067344552416,-0.0993499701564024,Premium Loyalists
1,5,2056.89,2,2.302011096070226,-1.7451599969336726,Premium Loyalists
64,2,726.54,3,-0.09699446214959642,-0.37691723450583275,New Active Buyers
79,5,2634.26,2,1.222716846108915,0.5168630459694189,Premium Loyalists
143,1,599.68,0,-0.867660237399025,-0.1591460829150073,Dormant Low Spenders
39,2,192.72,3,-0.6511011797295597,-1.1352332960300364,New Active Buyers
19,23,4372.15,2,3.3391855967916806,0.5049411321020515,Premium Loyalists
498,3,973.73,1,-0.3213348359642352,1.0580778272629647,Active Mid Spenders
1,3,1316.66,3,1.6557181124577829,-2.086835033224545,New Active Buyers
82,5,735.51,1,0.5230296832465097,0.08362574038465441,Active Mid Spenders
9,6,1933.48,2,1.8938611670746768,-0.7494117346018835,Premium Loyalists
528,1,316.48,0,-1.6393293838039826,0.3800550350637686,Dormant Low Spenders
60,9,3759.26,2,2.014890734156842,0.7139663976852407,Premium Loyalists
15,2,1933.2,3,0.8912077343234263,-0.8540335028789484,New Active Buyers
30,1,349.83000000000004,3,-0.6528213146036729,-1.2560783458990343,New Active Buyers
628,2,1367.89,1,-0.5022251094722631,1.1861570367620349,Active Mid Spenders
131,1,1089.18,1,-0.5175778344528345,0.00228177017979931,Active Mid Spenders
92,2,716.35,3,-0.22236053790830732,-0.1708646293450396,New Active Buyers
409,1,732.94,0,-1.1035652667147733,0.5289424501620636,Dormant Low Spenders
29,2,640.45,3,0.0892573192829094,-0.8774823322735853,New Active Buyers
30,3,981.18,3,0.5962123056152315,-0.5765807421071382,New Active Buyers
484,2,481.88,0,-0.9787659535908638,0.6611113011333606,Dormant Low Spenders
448,1,980.25,1,-0.976805981810029,0.6861198153940528,Active Mid Spenders
36,1,372.7,3,-0.6769238575906777,-1.1292808786821782,New Active Buyers
75,2,1000.39,3,0.023920984468910316,-0.17077797699707184,New Active Buyers
47,2,1161.5,3,0.2554511030823753,-0.3883319116149881,New Active Buyers
198,3,383.58,1,-0.5207349553384494,0.18447148616498146,Active Mid Spenders
166,1,95.19999999999999,0,-1.9042841375529675,-0.7254642809423207,Dormant Low Spenders
576,6,1575.68,1,0.4504313970665584,1.5672732473251654,Active Mid Spenders
79,1,964.83,3,-0.41827560446563244,-0.3360329788921817,New Active Buyers
358,1,168.0,0,-1.8519641605956045,-0.07339390285953062,Dormant Low Spenders
39,2,437.82,3,-0.21007900626012227,-0.8434371780545377,New Active Buyers
8,12,4608.75,2,3.0164442714728934,-0.2228746518549756,Premium Loyalists
449,1,468.5,0,-1.3751320389450643,0.42436782697731623,Dormant Low Spenders
682,1,129.23,0,-2.2039556480705276,0.21261608983551966,Dormant Low Spenders
50,2,603.71,3,-0.11699359294862453,-0.5858438302310396,New Active Buyers
8,1,269.96,3,-0.38558260442044967,-2.0770618936008653,New Active Buyers
311,2,561.71,1,-0.751223977524116,0.45575267396737384,Active Mid Spenders
5,3,2134.01,3,1.5548644601644628,-1.2672224095002311,New Active Buyers
303,1,238.85,0,-1.608458268437507,-0.046445275791864346,Dormant Low Spenders
8,9,4966.92,2,2.7942009844589313,-0.31431244038330886,Premium Loyalists
409,1,249.24,0,-1.6839212572997422,0.14495807186128726,Dormant Low Spenders
261,1,456.9,0,-1.2108095496069067,0.09669842364094562,Dormant Low Spenders
289,1,145.92,0,-1.8573138096724624,-0.2491342339887538,Dormant Low Spenders
86,1,351.65,0,-0.989263158520388,-0.6461447606197176,Dormant Low Spenders
645,1,70.0,0,-2.512834719776072,-0.03668343454059179,Dormant Low Spenders
